Training Error,Testing Error
2023.207378,2023.207378
1643.370785,2048.989826
1559.769609,1963.979129
1516.516969,1924.410918
1489.155692,1897.471317
1469.51181,1875.73658
1454.558573,1857.764258
1442.57948,1842.601274
1432.71588,1829.553751
1424.396463,1818.213567
1417.192138,1808.069732
1410.839756,1798.771655
1405.183092,1790.103432
1400.100657,1781.900026
1395.491538,1774.103584
1391.276219,1766.751388
1387.388764,1759.900304
1383.771692,1753.575902
1380.376458,1747.754611
1377.165216,1742.371873
1374.11143,1737.348071
1371.198865,1732.617053
1368.419107,1728.141579
1365.768375,1723.91069
1363.244639,1719.926235
1360.84569,1716.189089
1358.568222,1712.691171
1356.407646,1709.41381
1354.358264,1706.330196
1352.413596,1703.409351
1350.566692,1700.619855
1348.810391,1697.932516
1347.137496,1695.321807
1345.540887,1692.766292
1344.013549,1690.248335
1342.548559,1687.75338
1341.139,1685.269034
1339.777842,1682.784074
1338.45775,1680.287453
1337.170852,1677.767338
1335.908451,1675.210197
1334.660701,1672.599933
1333.416265,1669.917142
1332.162022,1667.138557
1330.882836,1664.236864
1329.561413,1661.181068
1328.178132,1657.937661
1326.710553,1654.472803
1325.132106,1650.755869
1323.409198,1646.76511
1321.495639,1642.496945
1319.32237,1637.980744
1316.778644,1633.295986
1313.67974,1628.558679
1309.73552,1623.736986
1304.634053,1618.064886
1298.306125,1609.845047
1290.896795,1598.601145
1282.218219,1585.753309
1271.876058,1572.271436
1259.589178,1558.399114
1219.924456,1545.518008
1091.845431,1381.311994
1009.699998,1259.169599
923.102039,1188.762369
865.494252,1137.018645
831.681332,1104.969261
805.538484,1065.141237
777.22416,1061.465293
756.749111,999.687763
741.766788,1015.316883
730.434344,981.722532
712.550717,977.030463
705.047985,966.914621
685.98926,945.090819
703.158373,953.62733
683.400802,945.42853
679.076689,978.648688
671.433498,961.444278
664.377102,959.421088
659.157767,927.3898
654.545984,920.252842
650.991921,920.038944
648.516359,902.869354
637.913527,882.266327
639.523633,906.724004
642.962691,901.821439
630.932386,913.219233
637.368589,903.200705
652.359296,906.643575
627.470874,900.331079
618.399882,925.908576
615.02214,896.301497
624.980576,873.415254
615.370192,882.2448
605.656865,893.982474
609.640238,871.339549
600.537235,890.317844
600.985944,876.600637
591.754809,861.626405
605.79121,861.761282
575.508441,844.640518
570.970321,842.605924
590.793093,864.626545
588.224518,858.353981
610.717508,857.844583
562.734872,834.928735
579.416659,832.315691
572.235206,828.069588
559.791632,829.77435
570.818577,839.316864
568.687189,809.388255
567.706719,839.216226
564.436362,884.503953
563.617467,803.8689
555.748565,799.311886
562.179327,810.564206
560.169077,839.578855
550.668696,830.42828
560.216691,842.685571
559.839777,834.197992
540.15246,824.854373
550.694721,829.428314
540.154111,800.967709
547.766313,828.645045
537.254035,846.571519
565.96969,839.251878
533.687998,811.151864
559.672138,818.553933
540.585447,815.307794
526.764308,804.902622
546.422655,806.853437
539.785521,785.677322
528.809588,847.025788
548.354803,836.569442
528.584522,845.828455
529.667038,829.289795
531.45301,869.204024
530.766929,825.38703
515.021544,801.811721
532.517262,803.276669
545.263528,865.297932
521.547629,862.187829
517.511654,855.865328
538.364596,792.105935
513.433101,804.825137
535.807653,824.174187
522.686489,843.289415
518.565311,843.254005
522.362364,832.97819
512.374804,771.397816
510.937599,796.799597
528.463712,796.44007
530.55678,824.598381
517.21245,809.005502
527.085226,832.436972
509.659777,824.326132
509.858232,853.738741
534.071398,796.463677
514.584826,853.68802
497.814386,835.971683
504.636266,828.924674
495.535788,793.861489
526.612574,772.46441
513.541908,778.569913
512.279491,837.979163
507.894592,851.061668
506.417662,818.849655
503.911053,808.766491
506.864147,817.784253
512.421686,803.811556
496.563961,795.428315
505.17361,787.353978
497.936797,780.802946
499.178471,779.585524
512.928731,826.000776
484.260747,758.586075
482.580115,759.967135
483.608049,819.33697
472.406841,750.4896
492.465783,786.823324
467.194809,750.892459
475.094232,765.937025
467.767648,765.432177
475.190826,741.223236
467.321343,747.965829
458.746325,747.243223
481.271857,748.372447
471.897255,760.992564
467.423146,744.216245
462.051813,802.466133
467.571976,751.551421
469.656478,759.350045
465.93591,749.971572
465.639209,757.051933
467.143855,750.106569
482.077405,749.174105
466.806223,770.051727
457.955985,754.872291
462.807903,760.682591
470.408012,750.59973
463.740995,785.545875
480.207278,768.954225
472.960817,812.478785
468.628411,770.364372
471.639238,777.430288
476.728799,805.700424
473.95606,777.076548
472.683322,763.622031
458.716811,747.063353
450.193837,751.947054
459.001964,748.849741
459.14065,772.705711
455.720514,790.944382
466.65768,752.979402
453.980154,780.642272
460.271901,788.675354
453.152244,776.608802
457.576909,755.992014
464.326299,771.741005
460.715005,749.900362
452.894295,733.177094
455.412683,742.034236
476.070292,774.949374
466.871866,781.385203
455.324029,790.104831
459.826957,751.962152
454.857618,786.846117
448.894663,764.368982
463.071252,769.997879
451.4745,766.809811
447.354091,747.073943
450.254728,782.13319
454.850719,783.879744
478.104785,785.808821
465.663915,742.246808
462.572443,777.579834
450.542015,777.214017
448.069678,771.010458
457.808743,778.261444
464.963532,819.182435
478.318261,808.992865
447.106172,762.467907
461.129136,753.274223
450.816916,763.269501
440.399149,772.3445
468.099578,787.184269
464.929827,770.41358
453.611183,769.316714
465.107855,760.298646
446.255034,824.056143
451.358838,757.387449
447.364919,764.109964
451.069088,758.550163
465.522051,763.794732
499.855462,789.514449
454.780229,820.652346
463.139899,780.18821
475.881158,796.826328
468.516784,777.025649
465.461576,787.936788
459.420121,796.854404
455.158464,758.482854
453.365741,764.120416
469.077366,752.322648
458.949211,823.547979
450.802471,772.929131
443.108452,771.270415
445.228046,751.032455
453.390082,784.048674
457.570309,783.990675
455.390468,750.201723
470.801443,779.802523
477.425221,795.80079
435.988342,805.481613
442.401027,792.751177
440.830861,777.743706
450.773039,744.518047
446.703058,804.8036
457.344478,759.84901
469.774997,809.93781
465.056357,795.203244
446.406642,795.533027
442.704742,789.51289
447.316481,780.247647
451.75433,767.922486
432.732255,768.636286
440.325062,768.627289
515.253343,804.632098
458.21246,800.579807
449.280813,778.103713
439.551282,755.988348
435.433535,787.488453
446.451086,807.501477
458.924529,783.717701
451.034484,767.881712
458.114143,794.079891
436.497019,780.510383
434.233066,783.861676
430.992595,789.27969
444.954058,762.082929
433.526257,800.159922
498.903843,786.064792
447.94453,771.535035
445.11459,758.20165
431.498015,771.433303
437.762554,773.209642
441.022165,778.277233
433.321795,790.769172
429.47634,801.562984
453.782948,789.82335
436.60685,837.10804
428.271055,774.136506
442.502902,768.101215
444.366317,836.566146
442.164305,775.721537
434.797184,801.049319
441.262293,763.211474
436.733934,770.403903
418.983109,766.594538
454.053902,775.073195
468.285095,949.755703
431.29043,774.158433
422.23169,787.370782
441.826711,774.947003
432.043666,794.603348
426.919875,754.915984
427.369153,802.202998
430.781781,799.640316
447.607625,791.612781
452.192615,786.338255
438.888208,809.567855
427.546637,852.923552
428.333335,791.468014
418.934979,806.962122
436.688452,787.463298
420.76306,800.6907
422.470562,796.546765
429.130265,788.40362
444.653648,798.249981
446.672372,794.034372
450.996877,806.912699
433.885625,800.935253
459.334261,793.242003
438.159384,800.646425
438.64913,787.416069
427.326634,796.430794
428.397024,785.479371
429.131528,780.379426
433.540416,787.919546
439.068701,782.313911
433.789474,795.217279
471.745638,805.468611
438.854217,798.904013
419.443088,780.091635
440.008844,783.37545
430.568669,787.340679
427.475139,810.158351
493.510819,788.326984
423.810604,941.401478
436.093843,809.924463
427.132611,809.148821
421.273973,771.982508
433.545341,794.886582
440.831522,790.033305
445.084276,798.933691
431.714386,813.066381
429.540615,793.20951
424.846266,819.620471
428.33854,803.189183
409.75165,790.958197
438.096807,794.584548
417.509152,825.815303
421.4968,790.495964
420.670468,796.408042
435.192563,782.338567
430.576878,873.081119
411.602916,780.168115
488.771515,789.411565
527.729624,998.954956
458.484196,927.426656
428.305101,826.540726
443.158174,766.492521
428.884343,785.818796
433.141841,814.417846
411.465317,796.399921
415.99558,795.199451
423.703956,775.48854
413.879643,793.192776
422.798893,792.749313
434.092563,801.322317
429.17157,802.412756
421.155042,771.926995
411.610393,800.246958
411.171841,785.673787
493.252089,782.115793
489.022039,959.434869
426.336234,804.447483
424.472522,796.918163
435.305912,824.627141
453.775694,778.341869
420.147396,805.040918
425.724154,774.427248
463.217531,783.667908
425.603918,782.486263
442.717868,779.84731
430.939157,801.790273
420.599336,773.59374
411.729204,778.8573
419.518052,792.743012
421.253005,782.616456
418.081925,768.420908
439.411571,804.796492
416.125046,791.252834
403.923,771.130426
417.069067,773.044358
424.166836,771.892805
423.905196,789.788318
443.90499,785.741356
430.127842,772.207961
409.510711,774.729394
429.694703,799.299536
422.691617,803.539326
430.674407,775.124406
439.142348,794.588794
405.86473,797.549281
438.883701,794.217038
432.29498,788.496579
450.559004,794.07445
409.215019,782.855983
401.70874,764.267274
401.609134,763.77654
425.382268,756.260557
447.55053,807.732579
419.597099,787.71033
422.507999,784.307486
427.982271,789.762722
423.371041,779.245587
425.879791,778.849577
418.966484,774.873801
418.460243,780.557398
406.596644,775.618916
417.106595,774.21392
433.74453,821.729081
409.434887,804.995415
414.624176,767.601763
413.011803,774.319148
403.050061,767.725641
396.933052,762.824006
402.574088,788.181258
418.084563,789.383093
431.690343,770.697378
419.345662,802.394453
418.510612,773.11326
425.54969,810.032367
430.660264,757.21621
412.143289,768.486388
415.085617,774.633553
400.132709,788.874293
425.00399,776.551156
388.248563,777.929021
385.341078,783.862185
445.090126,774.58703
404.940724,767.573186
414.591966,777.284421
415.4545,820.171707
399.943604,823.845403
398.599133,764.574378
422.440106,799.45113
401.392632,767.596649
407.363088,770.177295
399.400435,790.146451
388.229168,775.574282
404.204306,764.883379
407.460486,792.744151
415.067018,794.883225
