DAY 0 DATA
amount wrong,2541
total patterns,8000
DAY 1 DATA
amount wrong,3012
total patterns,10000
DAY 2 DATA
amount wrong,3251
total patterns,10000
DAY 3 DATA
amount wrong,3335
total patterns,10000
DAY 4 DATA
amount wrong,3293
total patterns,10000
DAY 5 DATA
amount wrong,3668
total patterns,10000
DAY 6 DATA
amount wrong,3224
total patterns,10000
DAY 7 DATA
amount wrong,2904
total patterns,10000
DAY 8 DATA
amount wrong,3114
total patterns,10000
DAY 9 DATA
amount wrong,3334
total patterns,10000
DAY 10 DATA
amount wrong,3577
total patterns,10000
DAY 11 DATA
amount wrong,2964
total patterns,10000
DAY 12 DATA
amount wrong,3765
total patterns,10000
DAY 13 DATA
amount wrong,3008
total patterns,10000
DAY 14 DATA
amount wrong,3085
total patterns,10000
DAY 15 DATA
amount wrong,3197
total patterns,10000
DAY 16 DATA
amount wrong,3286
total patterns,10000
DAY 17 DATA
amount wrong,3424
total patterns,10000
DAY 18 DATA
amount wrong,3316
total patterns,10000
DAY 19 DATA
amount wrong,3101
total patterns,10000
DAY 20 DATA
amount wrong,3207
total patterns,10000
DAY 21 DATA
amount wrong,3070
total patterns,10000
DAY 22 DATA
amount wrong,3813
total patterns,10000
DAY 23 DATA
amount wrong,3523
total patterns,10000
DAY 24 DATA
amount wrong,3939
total patterns,10000
DAY 25 DATA
amount wrong,4429
total patterns,10000
DAY 26 DATA
amount wrong,2721
total patterns,10000
DAY 27 DATA
amount wrong,3996
total patterns,10000
DAY 28 DATA
amount wrong,2866
total patterns,10000
DAY 29 DATA
amount wrong,4412
total patterns,10000
DAY 30 DATA
amount wrong,4196
total patterns,10000
DAY 31 DATA
amount wrong,3418
total patterns,10000
DAY 32 DATA
amount wrong,2939
total patterns,10000
DAY 33 DATA
amount wrong,2736
total patterns,10000
DAY 34 DATA
amount wrong,652
total patterns,10000
DAY 35 DATA
amount wrong,2313
total patterns,10000
DAY 36 DATA
amount wrong,926
total patterns,10000
DAY 37 DATA
amount wrong,941
total patterns,10000
DAY 38 DATA
amount wrong,3535
total patterns,10000
DAY 39 DATA
amount wrong,2868
total patterns,10000
DAY 40 DATA
amount wrong,2732
total patterns,10000
DAY 41 DATA
amount wrong,2834
total patterns,10000
DAY 42 DATA
amount wrong,2968
total patterns,10000
DAY 43 DATA
amount wrong,2970
total patterns,10000
DAY 44 DATA
amount wrong,3111
total patterns,10000
DAY 45 DATA
amount wrong,18
total patterns,65
DAY 46 DATA
amount wrong,3391
total patterns,10000
DAY 47 DATA
amount wrong,3258
total patterns,10000
DAY 48 DATA
amount wrong,3019
total patterns,10000
DAY 49 DATA
amount wrong,3030
total patterns,10000
DAY 50 DATA
amount wrong,3168
total patterns,10000
DAY 51 DATA
amount wrong,4016
total patterns,10000
DAY 52 DATA
amount wrong,3859
total patterns,10000
DAY 53 DATA
amount wrong,3263
total patterns,10000
DAY 54 DATA
amount wrong,3064
total patterns,10000
DAY 55 DATA
amount wrong,3068
total patterns,10000
DAY 56 DATA
amount wrong,2882
total patterns,10000
DAY 57 DATA
amount wrong,3101
total patterns,10000
DAY 58 DATA
amount wrong,3203
total patterns,10000
DAY 59 DATA
amount wrong,2944
total patterns,10000
DAY 60 DATA
amount wrong,2909
total patterns,10000
DAY 61 DATA
amount wrong,2645
total patterns,10000
DAY 62 DATA
amount wrong,2624
total patterns,10000
DAY 63 DATA
amount wrong,3257
total patterns,10000
DAY 64 DATA
amount wrong,2700
total patterns,10000
DAY 65 DATA
amount wrong,2929
total patterns,10000
DAY 66 DATA
amount wrong,3027
total patterns,10000
DAY 67 DATA
amount wrong,2683
total patterns,10000
DAY 68 DATA
amount wrong,2905
total patterns,10000
DAY 69 DATA
amount wrong,3452
total patterns,10000
DAY 70 DATA
amount wrong,2809
total patterns,10000
DAY 71 DATA
amount wrong,1820
total patterns,10000
DAY 72 DATA
amount wrong,2147
total patterns,10000
DAY 73 DATA
amount wrong,2417
total patterns,10000
DAY 74 DATA
amount wrong,2340
total patterns,10000
DAY 75 DATA
amount wrong,2505
total patterns,10000
DAY 76 DATA
amount wrong,2749
total patterns,10000
DAY 77 DATA
amount wrong,2394
total patterns,10000
DAY 78 DATA
amount wrong,3335
total patterns,10000
DAY 79 DATA
amount wrong,3870
total patterns,10000
DAY 80 DATA
amount wrong,3490
total patterns,10000
DAY 81 DATA
amount wrong,3079
total patterns,10000
DAY 82 DATA
amount wrong,3348
total patterns,10000
DAY 83 DATA
amount wrong,2404
total patterns,10000
DAY 84 DATA
amount wrong,3312
total patterns,10000
DAY 85 DATA
amount wrong,3162
total patterns,10000
DAY 86 DATA
amount wrong,3458
total patterns,10000
DAY 87 DATA
amount wrong,3122
total patterns,10000
DAY 88 DATA
amount wrong,3313
total patterns,10000
DAY 89 DATA
amount wrong,3043
total patterns,10000
DAY 90 DATA
amount wrong,2929
total patterns,10000
DAY 91 DATA
amount wrong,3188
total patterns,10000
DAY 92 DATA
amount wrong,3111
total patterns,10000
DAY 93 DATA
amount wrong,3070
total patterns,10000
DAY 94 DATA
amount wrong,3320
total patterns,10000
DAY 95 DATA
amount wrong,4476
total patterns,10000
DAY 96 DATA
amount wrong,3186
total patterns,10000
DAY 97 DATA
amount wrong,3021
total patterns,10000
DAY 98 DATA
amount wrong,3251
total patterns,10000
DAY 99 DATA
amount wrong,3422
total patterns,10000
DAY 100 DATA
amount wrong,3567
total patterns,10000
DAY 101 DATA
amount wrong,3147
total patterns,10000
DAY 102 DATA
amount wrong,3033
total patterns,10000
DAY 103 DATA
amount wrong,3454
total patterns,10000
DAY 104 DATA
amount wrong,3573
total patterns,10000
DAY 105 DATA
amount wrong,4056
total patterns,10000
DAY 106 DATA
amount wrong,3558
total patterns,10000
DAY 107 DATA
amount wrong,3573
total patterns,10000
DAY 108 DATA
amount wrong,3456
total patterns,10000
DAY 109 DATA
amount wrong,3577
total patterns,10000
DAY 110 DATA
amount wrong,3471
total patterns,10000
DAY 111 DATA
amount wrong,3497
total patterns,10000
DAY 112 DATA
amount wrong,3472
total patterns,10000
DAY 113 DATA
amount wrong,3070
total patterns,10000
DAY 114 DATA
amount wrong,3183
total patterns,10000
DAY 115 DATA
amount wrong,3298
total patterns,10000
DAY 116 DATA
amount wrong,3239
total patterns,10000
DAY 117 DATA
amount wrong,2900
total patterns,10000
DAY 118 DATA
amount wrong,2846
total patterns,10000
DAY 119 DATA
amount wrong,3122
total patterns,10000
DAY 120 DATA
amount wrong,3427
total patterns,10000
